"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2020-11-01,5787,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2020-12-01,5281,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-01-01,4586,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-02-01,4063,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-03-01,3558,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-04-01,2968,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-05-01,2687,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-06-01,2402,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-07-01,2136,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-08-01,NA,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-09-01,5248,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-10-01,5184,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-11-01,5089,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2021-12-01,4673,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2022-01-01,4492,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2022-02-01,4608,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2022-03-01,3776,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2022-04-01,3477,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2022-05-01,3062,"Bildung","lehrstellen_offen","offene Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2018-09-01,930,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2018-10-01,2044,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2018-11-01,3872,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2018-12-01,5246,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-01-01,6289,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-02-01,6975,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-03-01,7651,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-04-01,8377,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-05-01,9031,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-06-01,9404,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-07-01,9734,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
2019-08-01,NA,"Bildung","lehrstellen_besetzt","besetzte Lehrstellen","ZH","Anzahl","Kanton Zürich, Bildungsstatistik","monatlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_bista/"
