"Jahr.Monat","Offen","Besetzt"
"2019.12",5785,4848
"2020.01",4631,6504
"2020.02",4231,7114
"2020.03",3642,7779
"2020.04",3304,8179
"2020.05",2898,8686
"2020.06",2498,9146
"2020.07",2179,9452
"2020.09",7726,1108
"2020.10",7244,2014
"2020.11",5787,3345
