Jahr,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
2013,4098,3489,3014,2402,1895,1535,1122,,9392,8635,6327,5465
2014,4290,3814,3027,2348,1974,1583,1058,,9657,8914,6711,5790
2015,4445,3883,3265,2557,2181,1685,1307,,9840,9069,6874,5908
2016,4591,3935,3276,2583,2067,1641,1395,,9177,8655,6816,5881
2017,4577,4043,3354,2853,2376,1955,1562,,9572,9075,7542,6787
2018,5540,4852,4115,3273,2688,2370,1854,,8168,8059,6583,5464
2019,4722,4244,3675,3146,2582,2260,1970,,8153,7762,6439,5785
2020,4631,4231,3642,3304,2898,2498,2179,,7726,7244,,
