Jahr,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
2013,11825,11947,12119,12249,12335,12371,12397,,10403,11158,11324,11452
2014,11782,11934,12087,12179,12260,12290,12317,,10608,11442,11618,11702
2015,12001,12122,12301,12400,12474,12507,12482,,11123,11792,11950,12057
2016,12350,12498,12594,12659,12681,12719,12719,,10548,11027,11276,11403
2017,11677,11850,11976,12039,12088,12116,12111,,10367,11122,11281,11361
2018,11562,11737,11828,11694,11770,11872,11923,,9098,10103,10455,10710
2019,11011,11219,11326,11523,11613,11664,11704,,9161,10118,10500,10633
2020,11135,11345,11421,11483,11584,11644,11631,,8834,9258,,
