"Jahr.Monat","Offen","Besetzt"
"2022.04",3477,5512
"2022.05",3062,6021
"2022.06",2713,6480
"2022.07",2324,6854
"2022.09",5853,868
"2022.10",5859,1673
"2022.11",5440,2481
"2022.12",5076,2991
"2023.01",4645,3805
"2023.02",4563,4945
"2023.03",4099,5772
